feature,importance,fold
PREV_CNT_PAYMENT_MEAN,1530,2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1194,2
PREV_NAME_TYPE_SUITE_nan_MEAN,1084,2
PREV_NAME_YIELD_GROUP_middle_MEAN,1143,2
APPROVED_AMT_ANNUITY_MIN,1172,2
APPROVED_AMT_ANNUITY_MAX,1190,2
APPROVED_AMT_ANNUITY_MEAN,1243,2
APPROVED_AMT_CREDIT_MIN,1116,2
APPROVED_APP_CREDIT_PERC_MIN,1127,2
APPROVED_APP_CREDIT_PERC_MEAN,1293,2
APPROVED_APP_CREDIT_PERC_VAR,1861,2
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1235,2
APPROVED_DAYS_DECISION_MAX,2091,2
APPROVED_DAYS_DECISION_MEAN,1260,2
APPROVED_CNT_PAYMENT_MEAN,1317,2
POS_MONTHS_BALANCE_MEAN,1554,2
POS_MONTHS_BALANCE_SIZE,1284,2
POS_NAME_CONTRACT_STATUS_Active_MEAN,1606,2
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1452,2
INSTAL_DPD_MEAN,1406,2
INSTAL_DBD_MAX,1944,2
INSTAL_DBD_MEAN,2630,2
INSTAL_DBD_SUM,1928,2
INSTAL_PAYMENT_PERC_VAR,1101,2
INSTAL_AMT_INSTALMENT_MAX,1155,2
INSTAL_AMT_INSTALMENT_MEAN,1169,2
INSTAL_AMT_PAYMENT_MIN,2150,2
INSTAL_AMT_PAYMENT_MAX,1035,2
INSTAL_AMT_PAYMENT_MEAN,1370,2
INSTAL_AMT_PAYMENT_SUM,1253,2
INSTAL_DAYS_ENTRY_PAYMENT_MAX,2290,2
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,1593,2
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1602,2
AMT_INCOME_TOTAL,1324,3
AMT_CREDIT,1816,3
AMT_ANNUITY,2293,3
AMT_GOODS_PRICE,1610,3
REGION_POPULATION_RELATIVE,2221,3
DAYS_BIRTH,3376,3
DAYS_EMPLOYED,2974,3
DAYS_REGISTRATION,3112,3
DAYS_ID_PUBLISH,2859,3
OWN_CAR_AGE,1186,3
HOUR_APPR_PROCESS_START,1265,3
EXT_SOURCE_1,3061,3
EXT_SOURCE_2,3853,3
EXT_SOURCE_3,3786,3
TOTALAREA_MODE,1063,3
DAYS_LAST_PHONE_CHANGE,2353,3
DAYS_EMPLOYED_PERC,2930,3
INCOME_CREDIT_PERC,2059,3
INCOME_PER_PERSON,1699,3
ANNUITY_INCOME_PERC,2397,3
PAYMENT_RATE,3821,3
BURO_DAYS_CREDIT_MIN,1102,3
BURO_DAYS_CREDIT_MAX,1550,3
BURO_DAYS_CREDIT_MEAN,1446,3
BURO_DAYS_CREDIT_VAR,1838,3
BURO_DAYS_CREDIT_ENDDATE_MIN,1120,3
BURO_DAYS_CREDIT_ENDDATE_MAX,1376,3
BURO_DAYS_CREDIT_ENDDATE_MEAN,1497,3
BURO_DAYS_CREDIT_UPDATE_MEAN,1374,3
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1521,3
BURO_AMT_CREDIT_SUM_MAX,1242,3
BURO_AMT_CREDIT_SUM_MEAN,1540,3
BURO_AMT_CREDIT_SUM_SUM,1494,3
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1337,3
ACTIVE_DAYS_CREDIT_MIN,1256,3
ACTIVE_DAYS_CREDIT_MAX,1843,3
ACTIVE_DAYS_CREDIT_MEAN,1511,3
ACTIVE_DAYS_CREDIT_VAR,1722,3
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2009,3
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1447,3
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1667,3
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2242,3
ACTIVE_AMT_CREDIT_SUM_MAX,1125,3
ACTIVE_AMT_CREDIT_SUM_MEAN,1507,3
ACTIVE_AMT_CREDIT_SUM_SUM,1362,3
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1385,3
CLOSED_DAYS_CREDIT_MIN,1136,3
CLOSED_DAYS_CREDIT_MAX,1984,3
CLOSED_DAYS_CREDIT_MEAN,1174,3
CLOSED_DAYS_CREDIT_VAR,1635,3
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1061,3
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1889,3
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1460,3
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1440,3
CLOSED_AMT_CREDIT_SUM_MAX,1241,3
CLOSED_AMT_CREDIT_SUM_MEAN,1789,3
CLOSED_AMT_CREDIT_SUM_SUM,1520,3
PREV_AMT_ANNUITY_MIN,1123,3
PREV_AMT_ANNUITY_MEAN,1204,3
PREV_AMT_CREDIT_MEAN,1220,3
PREV_APP_CREDIT_PERC_MIN,1049,3
